,V1
NANOS3,1
CRYGEP,0.52
AC136628.4,0.5
LAMA4,0.44
TCL1A,0.44
PCP4L1,0.43
MSC,0.42
FAM162B,0.41
GSTA3,0.38
CD38,0.36
LINC02406,0.35
AL359924.1,0.35
PCSK1N,0.35
DOCK2,0.35
SOSTDC1,0.34
SCUBE2,0.32
GABRA3,0.31
FNDC4,0.31
IRX6,0.3
INSYN2B,0.3
VSTM2B,0.3
PSORS1C2,0.3
WNT2,0.29
HGC6.3,0.28
BANCR,0.28
AP000812.2,0.27
CLEC4D,0.26
KLRB1,0.25
S100B,0.24
PDPN,0.24
MIR548XHG,0.24
CHI3L2,0.24
HERC5,0.24
PLBD1,0.23
GMPR,0.23
RASD1,0.23
RAB29,0.22
PHLDA3,0.22
BTLA,0.22
MYL1,0.22
ST8SIA6,0.21
ASCL1,0.21
SAMD11,0.2
TRPC5,0.2
C19orf85,0.2
TMEM178A,0.19
NETO2,0.19
RNF212,0.19
ASRGL1,0.19
IRX1,0.19
UTF1,0.19
RAB15,0.19
SOX17,0.19
PYCARD,0.19
ANGPTL4,0.19
IFI16,0.18
CHST2,0.18
AC018462.1,0.18
CACNA2D2,0.18
AC108134.3,0.18
NUDT11,0.18
AL442224.1,0.18
LRRC38,0.18
IQCF5,0.18
MGLL,0.18
FXYD6,0.18
DEFB1,0.17
FGF16,0.17
MYBL2,0.17
IL6R,0.16
ATP8A1,0.16
MME,0.16
IFI27,0.16
TNIP3,0.16
PLPP4,0.16
Z99289.3,0.16
TRIM17,0.16
PRR16,0.16
TRANK1,0.15
SPINK2,0.15
MRVI1,0.15
GBA3,0.15
CPXM2,0.15
KANK3,0.15
RUNX3,0.15
AC090679.1,0.15
ZNF705D,0.15
IQCF1,0.15
COL23A1,0.15
AC008505.1,0.15
SLC43A1,0.15
AL117372.1,0.15
ANO2,0.14
SOX15,0.14
TMEM123,0.14
KCNK13,0.14
PCAT14,0.14
IGF1,0.14
AKAP12,0.14
TRPC6,0.14
CCDC74B,0.14
PIFO,0.14
SOWAHD,0.14
SAT1,0.14
AC091544.5,0.14
DNMT3L,0.14
KIF9,0.14
KLRG2,0.14
MKRN1,0.14
CPLX1,0.14
PRKAR2B,0.14
NRK,0.14
GPHA2,0.14
ADIPOQ,0.13
ESX1,0.13
DOCK11,0.13
NTRK3,0.13
AC090004.2,0.13
LYST,0.13
NKX1.2,0.13
TBXT,0.13
AC092666.1,0.13
MSC.AS1,0.13
CASP8,0.13
CRYGD,0.13
GSTA9P,0.13
KIF25,0.13
RTL4,0.13
ST8SIA6.AS1,0.13
ID1,0.13
LINC02192,0.13
UMODL1,0.13
MMP2,0.13
PPM1N,0.13
IFITM3,0.12
FRAT2,0.12
PLPP1,0.12
LARP6,0.12
COL4A3BP,0.12
SUSD3,0.12
AC093515.1,0.12
FAM66D,0.12
C1QL4,0.12
CABYR,0.12
KAZN,0.12
SPSB2,0.12
CRIP2,0.12
CRIP1,0.12
PRODH,0.12
C2orf16,0.12
ORAI1,0.12
PQLC3,0.12
ACTG2,0.12
BFSP2,0.12
EMB,0.12
SMIM32,0.12
GSTA4,0.12
SLC49A3,0.12
EPB41L2,0.12
CDK2AP1,0.12
FAM124B,0.12
POU5F1,0.12
SYTL4,0.12
AC008556.1,0.12
FAM102B,0.12
LINC01101,0.12
RNASET2,0.12
C12orf75,0.12
MBP,0.12
IL6ST,0.11
AC011773.3,0.11
CA2,0.11
AC019209.1,0.11
RPL13P5,0.11
MIA,0.11
CAPN13,0.11
NT5C3B,0.11
LINC01060,0.11
SMOC2,0.11
PDK4,0.11
LINC02690,0.11
VWA1,0.11
AC106772.2,0.11
ATRNL1,0.11
FAM20A,0.11
AC010641.2,0.11
MS4A6A,0.11
COL9A2,0.11
CLEC6A,0.11
TCL1B,0.11
AL591742.2,0.11
AC147067.1,0.11
FRMD6,0.11
SOCS4,0.11
OXT,0.11
TF,0.11
CYP4F26P,0.11
C11orf96,0.11
AC024940.2,0.11
SOD1,0.11
RPUSD3,0.1
CEBPZ,0.1
PLCD4,0.1
GADL1,0.1
ID4,0.1
ABCC12,0.1
HORMAD1,0.1
YPEL4,0.1
RAMP1,0.1
AC105749.1,0.1
PABPC5,0.1
FAM122C,0.1
MDFI,0.1
STOM,0.1
TCERG1L,0.1
MYZAP,0.1
WNT7A,0.1
PIGX,0.1
ARMT1,0.1
BARX1,0.1
ADAMTS8,0.1
NDUFAB1,0.1
PYDC1,0.1
LINC02380,0.1
SLC16A10,0.1
LINC00838,0.1
ALOX5,0.1
SPATA6,0.1
AL591501.1,0.1
NANOG,0.1
BICD1,0.1
ST6GALNAC1,0.1
ERVK.28,0.1
LINC02593,0.1
NCBP2AS2,0.1
RPRM,0.1
SHISAL2B,0.1
RMND1,0.1
NSMAF,0.1
AC004448.3,0.1
TOMM7,0.09
TCEA1,0.09
DSTNP2,0.09
C19orf53,0.09
RPSA,0.09
AC004816.2,0.09
MYH4,0.09
AP000253.1,0.09
RNF187,0.09
TFCP2L1,0.09
